Date,Gold_price,Price
2022-03-27,1943.3333333333333,3160.644583
2022-03-28,1940.0,3330.612917
2022-03-29,1910.0,3404.928333
2022-03-30,1930.0,3380.1475
2022-03-31,1940.0,3375.780417
2022-04-01,1930.0,3326.45
2022-04-02,1930.0,3489.110417
2022-04-03,1930.0,3502.221667
2022-04-04,1930.0,3478.482083
2022-04-05,1940.0,3496.293333
2022-04-06,1930.0,3328.393333
2022-04-07,1930.0,3215.414167
2022-04-08,1940.0,3260.081032
2022-04-09,1943.3333333333333,3208.122917
2022-04-10,1946.6666666666667,3264.190833
2022-04-11,1950.0,3167.70625
2022-04-12,1960.0,3015.125833
2022-04-13,1980.0,3063.226225
2022-04-14,1960.0,3071.839583
2022-04-15,1960.0,3026.27625
2022-04-16,1960.0,3039.09625
2022-04-17,1960.0,3072.695417
2022-04-18,1960.0,2974.13875
2022-04-19,1960.0,3049.677083
2022-04-20,1950.0,3085.434666
2022-04-21,1940.0,3101.483299
2022-04-22,1940.0,2986.793084
2022-04-23,1926.6666666666667,2957.59391
2022-04-24,1913.3333333333333,2942.653
2022-04-25,1900.0,2894.420033
2022-04-26,1900.0,2936.533501
2022-04-27,1890.0,2865.456493
2022-04-28,1890.0,2914.510152
2022-04-29,1910.0,2867.288018
2022-04-30,1910.0,2811.213339
2022-05-01,1910.0,2778.899042
2022-05-02,1910.0,2833.848316
2022-05-03,1870.0,2821.533307
2022-05-04,1860.0,2855.763843
2022-05-05,1890.0,2857.581755
2022-05-06,1880.0,2709.932981
2022-05-07,1873.3333333333333,2675.158737
2022-05-08,1866.6666666666667,2552.228483
2022-05-09,1860.0,2397.628152
2022-05-10,1860.0,2358.877573
2022-05-11,1850.0,2268.855171
2022-05-12,1840.0,1948.987234
2022-05-13,1810.0,2072.52621
2022-05-14,1810.0,2017.072872
2022-05-15,1810.0,2064.686716
2022-05-16,1810.0,2036.069522
2022-05-17,1830.0,2068.686467
2022-05-18,1810.0,2008.854652
2022-05-19,1840.0,1972.071325
2022-05-20,1830.0,2005.168609
2022-05-21,1840.0,1969.086559
2022-05-22,1850.0,2002.087955
2022-05-23,1860.0,2039.878866
2022-05-24,1870.0,1966.839165
2022-05-25,1850.0,1982.234184
2022-05-26,1850.0,1870.600646
2022-05-27,1850.0,1759.818758
2022-05-28,1850.0,1770.78295
2022-05-29,1850.0,1791.958484
2022-05-30,1850.0,1907.602356
2022-05-31,1840.0,1965.33884
2022-06-01,1840.0,1897.150465
2022-06-02,1840.0,1821.681054
2022-06-03,1840.0,1787.234186
2022-06-04,1843.3333333333333,1772.204699
2022-06-05,1846.6666666666667,1798.172913
2022-06-06,1850.0,1875.963177
2022-06-07,1850.0,1760.250005
2022-06-08,1850.0,1771.412561
2022-06-09,1840.0,1797.868092
2022-06-10,1830.0,1738.432642
2022-06-11,1830.0,1593.064782
2022-06-12,1830.0,1479.731051
2022-06-13,1830.0,1253.332019
2022-06-14,1820.0,1194.0914
2022-06-15,1820.0,1143.205775
2022-06-16,1830.0,1139.241351
2022-06-17,1840.0,1087.226381
2022-06-18,1840.0,1004.821207
2022-06-19,1840.0,1030.192866
2022-06-20,1840.0,1108.011543
2022-06-21,1840.0,1144.691752
2022-06-22,1840.0,1083.731457
2022-06-23,1840.0,1104.257327
2022-06-24,1830.0,1183.928145
2022-06-25,1830.0,1216.35762
2022-06-26,1830.0,1234.32883
2022-06-27,1830.0,1208.241173
2022-06-28,1820.0,1188.998453
2022-06-29,1820.0,1120.659414
2022-06-30,1820.0,1048.134722
2022-07-01,1800.0,1034.03
2022-07-02,1803.3333333333333,1034.03
2022-07-03,1806.6666666666667,1034.03
2022-07-04,1810.0,1034.03
2022-07-05,1770.0,1063.850281
2022-07-06,1750.0,1143.12223
2022-07-07,1750.0,1200.827313
2022-07-08,1740.0,1233.214682
2022-07-09,1740.0,1218.086969
2022-07-10,1740.0,1181.963219
2022-07-11,1740.0,1142.226292
2022-07-12,1730.0,1069.494221
2022-07-13,1720.0,1067.490779
2022-07-14,1700.0,1128.49006
2022-07-15,1710.0,1219.927743
2022-07-16,1713.3333333333333,1258.504871
2022-07-17,1716.6666666666667,1351.707367
2022-07-18,1720.0,1461.311995
2022-07-19,1710.0,1544.148013
2022-07-20,1710.0,1559.733426
2022-07-21,1710.0,1521.696739
2022-07-22,1740.0,1581.744242
2022-07-23,1733.3333333333333,1543.437885
2022-07-24,1726.6666666666667,1593.49196
2022-07-25,1720.0,1520.789819
2022-07-26,1720.0,1402.525475
2022-07-27,1710.0,1498.3826
2022-07-28,1750.0,1671.334104
2022-07-29,1750.0,1716.52073
2022-07-30,1756.6666666666667,1711.681347
2022-07-31,1763.3333333333333,1703.07085
2022-08-01,1770.0,1664.148873
2022-08-02,1780.0,1611.06719
2022-08-03,1760.0,1640.786998
2022-08-04,1780.0,1619.917556
2022-08-05,1770.0,1672.554241
2022-08-06,1773.3333333333333,1718.369513
2022-08-07,1776.6666666666667,1694.706176
2022-08-08,1780.0,1758.55025
2022-08-09,1800.0,1729.359087
2022-08-10,1800.0,1758.584593
