DATE,TOTAL_USD_VOLUME_cex,TOTAL_USD_VOLUME_dex
2022/9/29,1310622.234,1220040272.0
2022/9/30,1444424.74,1398425314.0
2022/10/1,1574777.975,1117628923.0
2022/10/2,1660283.147,1495203972.0
2022/10/3,1600848.813,1384170337.0
2022/10/4,776765.9801,1855532244.0
2022/10/5,2359827.053,1851665090.0
2022/10/6,4736905.65,2265887200.0
2022/10/7,4293440.764,1658746824.0
2022/10/8,178457.9516,1089519996.0
2022/10/9,1088796.069,381056441.5
2022/10/10,1032307.875,606778505.1
2022/10/11,181400.7232,816065353.3
2022/10/12,140139.2028,712619912.8
2022/10/13,5023447.638,2165088016.0
2022/10/14,17007834.63,1972103688.0
2022/10/15,976789.9526,849364526.5
2022/10/16,41548.2012,835921612.6
2022/10/17,7347406.395,1619935048.0
2022/10/18,238028.4588,1385360058.0
2022/10/19,1084821.983,927681764.9
2022/10/20,53764.28868,900704266.5
2022/10/21,136327.4571,858613548.5
2022/10/22,71115.88341,699913658.5
2022/10/23,523215.5831,1149753862.0
2022/10/24,62470.28264,1804332504.0
2022/10/25,187856.2353,2576203246.0
2022/10/26,4347156.212,2977275117.0
2022/10/27,2395812.801,2345083885.0
2022/10/28,2164241.01,2540811623.0
2022/10/29,1234798.552,3125525178.0
2022/10/30,2555189.874,2234373816.0
2022/10/31,4199809.043,2398889693.0
2022/11/1,208115.3054,2315046187.0
2022/11/2,1277781.934,2944003844.0
2022/11/3,467389.6028,1601919908.0
2022/11/4,1980427.278,2661786101.0
2022/11/5,3570017.662,1631683250.0
2022/11/6,269088.3887,1338320950.0
2022/11/7,786062.9696,2491836258.0
2022/11/8,27850266.76,4318269330.0
2022/11/9,23572399.04,4292889717.0
2022/11/10,10190222.73,3576150562.0
2022/11/11,7342548.043,2372509620.0
2022/11/12,52803904.9,2551937531.0
2022/11/13,448272.6492,1813174901.0
2022/11/14,12343655.89,2414837020.0
2022/11/15,22527366.39,1865875823.0
2022/11/16,5199827.692,1237037482.0
2022/11/17,4759981.292,1561523335.0
2022/11/18,2792671.964,788034897.3
2022/11/19,4669191.437,638742231.4
2022/11/20,136689.776,1152587720.0
2022/11/21,1386723.015,1898098322.0
2022/11/22,6468550.104,1951753395.0
2022/11/23,4663589.685,2332918284.0
2022/11/24,4784611.961,2402715133.0
2022/11/25,734805.3528,2427792552.0
2022/11/26,91432.67483,1899846787.0
