AuthorID,Author,Date,Content,Attachments,Reactions,
6.62233E+17,lenelle,2021-09-10T05:17:57.6400000-04:00,"Jokes aside, thank you guys for dropping by. I really appreciate your support 🙂",,,
6.63105E+17,sonic9082,2021-09-10T05:17:59.8060000-04:00,:BTC_HODL:,,,
5.44839E+17,dml25,2021-09-10T05:18:15.0410000-04:00,that emoji HODL!!! ♥️♥️,,,
6.63105E+17,sonic9082,2021-09-10T05:18:28.3410000-04:00,:chala_ja_btc:,,,
6.63105E+17,sonic9082,2021-09-10T05:18:44.9880000-04:00,Where giddy it's his gif,,,
8.85107E+17,killuabnb,2021-09-10T05:18:52.4990000-04:00,Can we have the Binance emoji (twt one) as well?,,,
5.44839E+17,dml25,2021-09-10T05:19:14.1620000-04:00,:ex_binance:,,,
5.44839E+17,dml25,2021-09-10T05:19:20.7820000-04:00,this is cute 🤗🤗🤗,,,
6.62233E+17,lenelle,2021-09-10T05:19:32.6120000-04:00,Which one? Can you share with me via DM?,,,
1.59986E+17,MEE6#4876,2021-09-10T05:20:11.3980000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-10T05:20:12.4800000-04:00,,,,
6.62233E+17,lenelle,2021-09-10T05:20:21.3360000-04:00,Oops,,,
6.63105E+17,sonic9082,2021-09-10T05:20:24.1990000-04:00,https://tenor.com/view/sonic-sleeping-sleep-bedtime-sonic-movie-gif-17090646,,,
7.06431E+17,jasminezzz9151,2021-09-10T05:20:29.3930000-04:00,Joined the server.,,,
8.85414E+17,naralion,2021-09-10T05:21:48.4040000-04:00,Joined the server.,,,
6.63105E+17,sonic9082,2021-09-10T05:21:58.8500000-04:00,Giddy,,,
8.85107E+17,killuabnb,2021-09-10T05:22:29.6770000-04:00,Done,,👍 (1),
6.63105E+17,sonic9082,2021-09-10T05:23:43.7750000-04:00,:waystoearnbitcoin:,,,
8.85414E+17,naralion,2021-09-10T05:25:52.2630000-04:00,Hi Admin,,,
6.63105E+17,sonic9082,2021-09-10T05:26:27.3000000-04:00,When Valhalla serr,,,
8.85414E+17,naralion,2021-09-10T05:27:07.8930000-04:00,Soonish,,,
6.63105E+17,sonic9082,2021-09-10T05:27:38.5320000-04:00,:BTC_HODL:,,,
6.63105E+17,sonic9082,2021-09-10T05:29:48.2710000-04:00,#TGIF,,,
4.56227E+17,Deleted User,2021-09-10T05:29:53.4510000-04:00,Can you please kick me🤪 ? Want to check if I find back without help...,,,
6.63105E+17,sonic9082,2021-09-10T05:30:13.1630000-04:00,/kick,,,
6.62233E+17,lenelle,2021-09-10T05:30:29.7300000-04:00,Kick can be done via using namelist,,,
4.56227E+17,Deleted User,2021-09-10T05:30:32.1680000-04:00,Test,,,
6.63105E+17,sonic9082,2021-09-10T05:30:35.5790000-04:00,!kick,,,
1.59986E+17,MEE6#4876,2021-09-10T05:30:35.8770000-04:00,,,,
6.63105E+17,sonic9082,2021-09-10T05:30:42.4990000-04:00,For real doe,,,
4.56227E+17,Deleted User,2021-09-10T05:30:50.2580000-04:00,/kickback,,,
6.62233E+17,lenelle,2021-09-10T05:30:59.5570000-04:00,"Right click for PC, or tap user name on your mobile phone to toggle menu",,,
6.62233E+17,lenelle,2021-09-10T05:31:35.0460000-04:00,,https://cdn.discordapp.com/attachments/882554401154289667/885819782996324382/K.JPG?ex=6618ff76&is=66068a76&hm=f15f0dcd7d2abf368492d3247702f6d3922badc6dc4428e75b5a760f0bff91f8&,,
6.63105E+17,sonic9082,2021-09-10T05:31:37.5830000-04:00,Kicked,,,
6.62233E+17,lenelle,2021-09-10T05:31:54.7760000-04:00,😫,,,
6.63105E+17,sonic9082,2021-09-10T05:32:14.1080000-04:00,/hug,,,
4.56227E+17,Deleted User,2021-09-10T05:32:14.1880000-04:00,Joined the server.,,,
6.63105E+17,sonic9082,2021-09-10T05:32:21.1230000-04:00,🤣🤣🤣🤣,,,
6.62233E+17,lenelle,2021-09-10T05:33:40.7650000-04:00,"�?�?�?[Achievement Unlock] First kick from Ribka �?�?�?,"",""
662232525522862100""",lenelle,2021-09-10T05:37:56.2010000-04:00,"@Deleted User I have unmuted you and changed your role to ""verified user"", usually when being kicked, you will be muted when you re-join server"
4.56227E+17,Deleted User,2021-09-10T05:43:44.5340000-04:00,_ Tries all the server commands._,,,
4.56227E+17,Deleted User,2021-09-10T05:44:19.8070000-04:00,Mute,,,
6.62233E+17,lenelle,2021-09-10T05:44:46.3090000-04:00,"The slash commands are disable, Right click for PC, or tap user name on your mobile phone to toggle menu",,,
6.63105E+17,sonic9082,2021-09-10T05:47:42.8190000-04:00,Good to see you here Dom😇,,,
6.63105E+17,sonic9082,2021-09-10T05:47:55.7350000-04:00,Is @Deleted User back already 😳,,,
4.56227E+17,Deleted User,2021-09-10T05:48:02.4390000-04:00,"Indeed, I see it. Is it correct that only delete and ban can be chosen then?",,,
